case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,targeted,1,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,2,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,2,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,3,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,3,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,3,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,4,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,4,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,4,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,4,8,4,104,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,5,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,5,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,5,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,5,8,4,104,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,5,8,5,84,200,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,4,104,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,5,84,200,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,6,8,6,12,68,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,4,104,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,5,84,200,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,6,12,68,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,7,8,7,12,52,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,1,124,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,2,200,96,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,3,96,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,4,104,0,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,5,84,200,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,6,12,68,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,7,12,52,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,8,8,8,52,104,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,1,8,1,24,164,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,2,8,1,116,152,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,2,8,2,96,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,3,8,1,172,48,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,3,8,2,56,116,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,3,8,3,180,104,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,4,8,1,188,180,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,4,8,2,92,116,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,4,8,3,140,116,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,4,8,4,116,84,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,5,8,1,60,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,5,8,2,168,32,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,5,8,3,160,52,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,5,8,4,72,24,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,5,8,5,160,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,1,208,108,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,2,208,132,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,3,172,120,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,4,60,152,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,5,68,120,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,6,8,6,16,120,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,1,188,180,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,2,40,20,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,3,216,28,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,4,32,100,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,5,136,104,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,6,176,136,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,7,8,7,24,20,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,1,48,136,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,2,100,148,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,3,148,36,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,4,88,164,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,5,92,72,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,6,36,140,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,7,96,44,8,8,8
